Algorithm Family,Algorithm,Cryptographic Family,NIST Security Level,AES Equivalent,Public Key (bytes),Private Key (bytes),Signature/Ciphertext (bytes),Shared Secret (bytes),KeyGen (cycles relative),Sign/Encaps (cycles relative),Verify/Decaps (cycles relative),Stack RAM (bytes),Optimization Target,FIPS Standard,Use Case Notes,trusted_source_id,peer_reviewed,vetting_body,Region,Status,Status URL
KEM,ML-KEM-512,Lattice,1,AES-128,800,1632,768,32,1x,1x,1x,~4000,Balanced,FIPS 203,Good for most applications; ~80x faster keygen than RSA-2048,,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
KEM,ML-KEM-768,Lattice,3,AES-192,1184,2400,1088,32,1.5x,1.5x,1.5x,~6000,Balanced,FIPS 203,Recommended general use; balances security and performance,,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
KEM,ML-KEM-1024,Lattice,5,AES-256,1568,3168,1568,32,2x,2x,2x,~8000,Balanced,FIPS 203,Highest security; CNSA 2.0 requirement for government/defense,,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
KEM,FrodoKEM-640,Lattice,1,AES-128,9616,19888,9752,16,10x,20x,20x,~60000,Conservative,N/A,"Conservative LWE-based; larger key & ciphertext, slower than ML-KEM; not selected for NIST standardization",ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html
KEM,FrodoKEM-976,Lattice,3,AES-192,15632,31296,15792,24,15x,30x,30x,~120000,Conservative,N/A,Higher security conservative option; significant size/performance cost; not selected for NIST standardization,ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html
KEM,FrodoKEM-1344,Lattice,5,AES-256,21520,43088,21696,32,20x,40x,40x,~180000,Conservative,N/A,Ultra-conservative LWE (Level 5); very large keys and slowest performance; not selected for NIST standardization,ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html
KEM,HQC-128,Code-based,1,AES-128,2249,2305,4433,64,2x,3x,3x,~10000,Balanced,Draft (Selected 2025),Code-based KEM; NIST-selected 2025 as backup to ML-KEM. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
KEM,HQC-192,Code-based,3,AES-192,4522,4586,8978,64,3x,6x,6x,~20000,Balanced,Draft (Selected 2025),Higher security code-based; NIST-selected 2025. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
KEM,HQC-256,Code-based,5,AES-256,7245,7317,14421,64,4x,9x,9x,~30000,Balanced,Draft (Selected 2025),Highest security code-based; NIST-selected 2025; cryptographic diversity from lattice-based ML-KEM. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
KEM,Classic-McEliece-348864,Code-based,1,AES-128,261120,6492,96,32,80x,4x,4x,~8000,Balanced,N/A,Level 1 code-based (McEliece); ~256KB public key; fast decapsulation; not selected for NIST FIPS (impractical key sizes),nist-csrc,yes,NIST,BSI/ANSSI,BSI TR-02102-1,https://www.bsi.bund.de/dok/TR-02102-1-en
