Name,Country,Role,Organization,Type,Category,Contribution,ImageUrl,WebsiteUrl,LinkedinUrl,KeyResourceUrl
Dr. Jérôme Notin,France,CEO,GIP ACYMA (cybermalveillance.gouv.fr),Public,Government,"CEO of GIP ACYMA which operates cybermalveillance.gouv.fr; leads France's national cyber victim assistance platform; promotes quantum-safe awareness for SMEs and individuals.",https://ui-avatars.com/api/?name=Jerome+Notin&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.cybermalveillance.gouv.fr/,https://www.linkedin.com/in/jeromenotin/,
Dr. Ludovic Perret,France,"CEO and Co-Founder; Senior Researcher","CryptoNext Security;Sorbonne Université (LIP6/CNRS);Inria",Private,Industry Vendor,"Co-founded and leads CryptoNext Security; leading quantum-safe cryptography vendor; RESQUE consortium member; provides C-QSC quantum-safe cryptographic library compliant with ANSSI and BSI guidelines. Also Senior Researcher at Sorbonne Université/CNRS (LIP6) and Inria; expert in algebraic cryptanalysis; contributed to breaking several NIST PQC candidates; research on multivariate and code-based systems.",https://ui-avatars.com/api/?name=Ludovic+Perret&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.cryptonext-security.com/,https://www.linkedin.com/in/ludovic-perret-37a12524/,
Jean-Noël de Galzain,France,Founder and CEO,WALLIX Group,Private,Industry Vendor,"Founder and CEO of WALLIX Group; French privileged access management and cybersecurity leader; advocate for European digital sovereignty and quantum-safe identity management.",https://ui-avatars.com/api/?name=Jean-Noel+Galzain&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.wallix.com/,https://www.linkedin.com/in/jndegalzain-cybersecurity-privacy-entrepreneurship/,
Skip Sanzeri,USA,Founder & COO,QuSecure,Private,Industry Vendor,"Co-founded PQCA founding member company; QuProtect platform deployed with U.S. Department of Defense; raised $28M Series A (2023).",https://ui-avatars.com/api/?name=Skip+Sanzeri&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.qusecure.com/,https://www.linkedin.com/in/skipsanzeri/,
Duncan Jones,UK,Head of Cybersecurity,Quantinuum,Private,Industry Vendor,"Leads cybersecurity for quantum computing company; Quantum-Safe 360 Alliance member; developed PQC Starter Kit with Thales (2024).",https://ui-avatars.com/api/?name=Duncan+Jones&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.quantinuum.com/,https://www.linkedin.com/in/duncanjones/,
Andrei Gurtov,Sweden,Full Professor,Linköping University,Academic,Standards,"Full Professor at Linköping University and adjunct professor at Aalto University and University of Helsinki; research in network security and PQC protocol design; contributes to quantum-safe communications standards.",https://ui-avatars.com/api/?name=Andrei+Gurtov&background=0b0d17&color=60a5fa&size=128&bold=true,https://liu.se/,https://www.linkedin.com/in/andrei-gurtov-9386a21/,
Prof. Florian Mendel,Germany,Cryptographer and Security Architect,Infineon Technologies,Private,Industry Adopter,"Cryptographer and Security Architect at Infineon Technologies; expert in hash functions and symmetric cryptography; extensive contributions to cryptographic standards and implementations for embedded security.",https://ui-avatars.com/api/?name=Florian+Mendel&background=0b0d17&color=10b981&size=128&bold=true,https://www.infineon.com/,https://www.linkedin.com/in/florianmendel/,
Dr. Martin Albrecht,UK,Professor,"King's College London;SandboxAQ",Academic,Industry Vendor,"Professor of Cybersecurity and Chair of Cryptography at King's College London; Research Scientist at SandboxAQ; leading PQC cryptanalysis expert who broke several NIST PQC candidates during the standardization process.",https://ui-avatars.com/api/?name=Martin+Albrecht&background=0b0d17&color=a78bfa&size=128&bold=true,https://resquant.com/,https://www.linkedin.com/in/martin-albrecht-42a74b95/,
Dr. Scott Aaronson,USA,Professor,University of Texas Austin,Academic,Standards,"Leading quantum computing theorist; contributes to understanding quantum threats to cryptography; authored 'Quantum Computing Since Democritus'.",https://ui-avatars.com/api/?name=Scott+Aaronson&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.scottaaronson.com/,https://www.linkedin.com/in/scott-aaronson-ab83933a0/,
Dr. Nadia Heninger,USA,Professor,UC San Diego,Academic,Algorithm Inventor,"Cryptanalysis expert at University of San Diego Crypto Group; discovered vulnerabilities in RSA and random number generation; PQC security analysis.",https://ui-avatars.com/api/?name=Nadia+Heninger&background=0b0d17&color=f59e0b&size=128&bold=true,https://cseweb.ucsd.edu/~nadiah/,https://www.linkedin.com/in/nadia-heninger-87578a5/,
Dr. Emmanuelle Encrenaz,France,Associate Professor,Sorbonne Université (LIP6/CNRS),Academic,Standards,"Associate Professor at Sorbonne Université affiliated with LIP6/CNRS; PQCrypto steering committee member; contributes to international PQC standardization and research on algebraic and post-quantum cryptography.",https://ui-avatars.com/api/?name=Emmanuelle+Encrenaz&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.lip6.fr/,https://www.linkedin.com/in/emmanuelle-encrenaz-34012b58/,
Prof. Edoardo Persichetti,USA,Associate Professor,Florida Atlantic University,Academic,Standards,"Associate Professor at Florida Atlantic University; Director of the Center for Cryptology and Information Security; PQCrypto steering committee member; expert in code-based PQC algorithm development and lattice cryptography.",https://ui-avatars.com/api/?name=Edoardo+Persichetti&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.fau.edu/,https://www.linkedin.com/in/edoardo-persichetti-56a92a8b/,
Dr. Dustin Moody,USA,PQC Standardization Lead,NIST,Public,Government,"Led NIST's eight-year standardization effort; oversaw evaluation of 82 algorithms; directed finalization of FIPS 203/204/205 (Aug 2024); selected HQC (Mar 2025).",https://ui-avatars.com/api/?name=Dustin+Moody&background=0b0d17&color=22d3ee&size=128&bold=true,https://csrc.nist.gov/projects/post-quantum-cryptography,https://www.linkedin.com/in/dustin-moody-88410550/,"NIST IR 8413;FIPS 203"
Dr. Lily Chen,USA,"NIST Fellow; Former Manager Cryptographic Technology Group",NIST,Public,Government,"Co-architect of NIST's PQC standardization; co-authored foundational NISTIR 8105; 30+ years cryptography experience; leads NIST-ITU liaison.",https://ui-avatars.com/api/?name=Lily+Chen&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.nist.gov/people/lily-chen,https://www.linkedin.com/in/lily-lidong-chen-2666761/,"FIPS 203;FIPS 204;FIPS 205"
Ollie Whitehouse,UK,Chief Technology Officer,NCSC (UK),Public,Government,"First-ever NCSC CTO (Oct 2023); published three-phase PQC migration roadmap (Mar 2025) with 2035 deadline: identify by 2028, upgrade by 2031, complete by 2035; launched assured PQC consultancy scheme; endorsed NIST algorithms.",https://ui-avatars.com/api/?name=Ollie+Whitehouse&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.ncsc.gov.uk/,https://www.linkedin.com/in/olliewhitehouse/,
Vincent Strubel,France,Director General,ANSSI (France),Public,Government,"Led overall French PQC strategy; ANSSI to require PQC in all products for qualification from 2027; oversaw first PQC certifications (Thales MultiApp 5.2, Samsung S3SSE2A, 2025); IPsec DR PQC update planned 2026.",https://ui-avatars.com/api/?name=Vincent+Strubel&background=0b0d17&color=22d3ee&size=128&bold=true,https://cyber.gouv.fr/en/,https://www.linkedin.com/in/vincent-strubel-7b7056200/,
Claudia Plattner,Germany,President,BSI (Germany),Public,Government,"Since July 2023 led BSI's quantum-safe initiatives; initiated joint PQC statement with 18 EU member states (Nov 2024); oversaw world-first quantum-secure ID card with Bundesdruckerei, G+D, and Infineon (Nov 2025).",https://ui-avatars.com/api/?name=Claudia+Plattner&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.bsi.bund.de/,https://www.linkedin.com/in/claudiaplattner/,
