question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
hybrid-crypto-sig-001,hybrid-crypto,Hybrid Cryptography,What is Strong Non-Separability (SNS) in the context of hybrid signatures?,"Strong Non-Separability (SNS) means that neither component of a hybrid signature can be extracted and verified independently. If you try to verify only the EC-Schnorr part or only the ML-DSA part of a Silithium signature, the verification fails because both components depend on a shared challenge μ derived from both public keys and both commitments.",learn,comprehension,developer;architect;researcher,intermediate;advanced,Global,Software Development; Finance; Government,draft-ietf-pquip-hybrid-signature-spectrums,,,,ML-DSA;EC-Schnorr,,,/learn/hybrid-crypto?tab=workshop&step=5,,draft-ietf-pquip-hybrid-signature-spectrums-07 §3
hybrid-crypto-sig-002,hybrid-crypto,Hybrid Cryptography,How does the Silithium fused construction prevent separability attacks?,"Silithium uses an adapted Fiat-Shamir transform where both the EC-Schnorr and ML-DSA components share a single challenge μ = H(R ‖ pk_ec ‖ pk_ml ‖ msg). The EC response s was computed with this fused challenge (not the standard H(R ‖ pk ‖ msg)), so verifying the EC component alone with the standard challenge yields a different challenge and fails. Neither component carries enough information to verify independently.",workshop,application,developer;architect;researcher,advanced,Global,Software Development; Research,eprint-2025-2059;draft-ietf-pquip-hybrid-signature-spectrums,,,,ML-DSA;EC-Schnorr;secp256k1,,,/learn/hybrid-crypto?tab=workshop&step=5,,"ePrint 2025/2059 §3 (Devevey, Guerreau, Roméas)"
hybrid-crypto-sig-003,hybrid-crypto,Hybrid Cryptography,What is the key difference between concatenation and fused (Silithium) hybrid signature constructions?,"In concatenation, two independent signatures are appended together — either can be stripped and verified alone (separable). In the Silithium fused construction, a single challenge μ is derived from both commitments and both public keys; the EC response uses this fused challenge instead of the standard one, and ML-DSA signs with the same μ as external-μ. Neither component can be verified in isolation because the challenge is bound to the other component.",learn,comprehension,developer;architect;researcher;executive,intermediate;advanced,Global,Software Development; Finance; Government,draft-ietf-pquip-hybrid-signature-spectrums;eprint-2025-2059,,,,ML-DSA;EC-Schnorr,,,/learn/hybrid-crypto?tab=learn,,ePrint 2025/2059; draft-ietf-pquip-hybrid-signature-spectrums-07
hybrid-crypto-sig-004,hybrid-crypto,Hybrid Cryptography,"Why does Silithium require ML-DSA's ""external-μ"" mode from FIPS 204?","The fused challenge μ = H(R ‖ pk_ec ‖ pk_ml ‖ msg) must be computed before the ML-DSA signing step, because it incorporates the EC commitment R. Standard ML-DSA.Sign() computes the message representative μ internally from (pk, ctx, msg). The external-μ mode (ML-DSA.Sign_internal with externalMu=true in @noble/post-quantum) lets the caller pass in the pre-computed μ directly, so the ML-DSA response is bound to the same challenge as the EC-Schnorr response.",workshop,application,developer;researcher,advanced,Global,Software Development; Research,eprint-2025-2059,,,,ML-DSA,,,/learn/hybrid-crypto?tab=workshop&step=5,,FIPS 204 §5.2; ePrint 2025/2059 §4
hybrid-crypto-sig-005,hybrid-crypto,Hybrid Cryptography,What is the three-level IETF hybrid signature non-separability spectrum?,"The IETF draft-ietf-pquip-hybrid-signature-spectrums defines: (1) No non-separability — either signature verifies alone (concatenation baseline); (2) Weak Non-Separability (WNS) — swapping one component invalidates the other, but extracting one component for standalone verification still works (nesting); (3) Strong Non-Separability (SNS) — neither component verifies independently (Silithium/fused). The spectrum also includes SNS + Simultaneous Verification as the strongest property.",learn,recall,developer;architect;researcher;executive,intermediate;advanced,Global,All,draft-ietf-pquip-hybrid-signature-spectrums,,,,,,,/learn/hybrid-crypto?tab=learn,,draft-ietf-pquip-hybrid-signature-spectrums-07
hybrid-crypto-sig-006,hybrid-crypto,Hybrid Cryptography,What is a recombination attack on hybrid signatures and how does Silithium prevent it?,"A recombination attack takes a legitimate EC component from one valid hybrid signature and combines it with a different ML-DSA component (or vice versa) to forge a new hybrid signature. Silithium prevents this because the shared challenge μ includes both public keys: μ = H(R ‖ pk_ec ‖ pk_ml ‖ msg). The EC response s was computed with the specific pk_ml of the original signer; substituting a different ML-DSA component would require a different pk_ml, changing μ and causing the EC verification to fail.",workshop,analysis,developer;architect;researcher,advanced,Global,Software Development; Finance; Government,eprint-2025-2059;draft-ietf-pquip-hybrid-signature-spectrums,,,,ML-DSA;EC-Schnorr,,,/learn/hybrid-crypto?tab=workshop&step=5,,ePrint 2025/2059 §2 (attack model)
hybrid-crypto-sig-007,hybrid-crypto,Hybrid Cryptography,How does Silithium signature size compare to simple ML-DSA-65 + EC-Schnorr concatenation?,"Concatenation produces R(33) + s(32) + mlSig(3309) = 3374 bytes. Silithium produces R(33) + s(32) + mlSig-z(3293) = 3358 bytes — saving 16 bytes. The savings come from the ML-DSA component using the external-μ mode which omits the message representative from the internal state. In the paper, larger savings are achieved when the full Fiat-Shamir compression is applied, but even this implementation demonstrates the principle.",workshop,comprehension,developer;architect;researcher,intermediate;advanced,Global,Software Development; Research,eprint-2025-2059,,,,ML-DSA,,,/learn/hybrid-crypto?tab=workshop&step=5,,ePrint 2025/2059 §5 (performance evaluation)
hybrid-crypto-sig-008,hybrid-crypto,Hybrid Cryptography,What is the trade-off between backwards compatibility and strong non-separability in hybrid signatures?,The IETF spectrum draft establishes that backwards compatibility and SNS are mutually exclusive: concatenation/nesting are backwards compatible (a legacy verifier can check just the classical component) but cannot achieve SNS. Silithium achieves SNS but is not backwards compatible — a verifier must understand the fused construction and check both components together. Organizations requiring both must use a dual-track approach: provide a Silithium signature for new verifiers and a standalone classical signature for legacy ones.,learn,synthesis,architect;researcher;executive,advanced,Global,All,draft-ietf-pquip-hybrid-signature-spectrums;eprint-2025-2059,,,,,,,/learn/hybrid-crypto?tab=learn,,draft-ietf-pquip-hybrid-signature-spectrums-07 §4 (design goals)
hybrid-crypto-sig-009,hybrid-crypto,Hybrid Cryptography,"In the nesting construction, why is the EC component still separable even though the ML-DSA outer covers it?","In nesting, ML-DSA signs over msg ‖ sig_EC. The EC-Schnorr component was computed independently on msg alone using the standard challenge H(R ‖ pk_ec ‖ msg). A verifier can extract sig_EC from the combined signature and call ecVerify(msg, sig_EC, pk_ec) — this succeeds because the EC signature was created with the standard (non-fused) challenge. The ML-DSA outer only prevents replacing sig_EC with a different EC signature without invalidating the outer layer, but it cannot prevent extracting the original EC signature for independent use.",workshop,analysis,developer;architect;researcher,advanced,Global,Software Development,draft-ietf-pquip-hybrid-signature-spectrums,,,,ML-DSA;EC-Schnorr,,,/learn/hybrid-crypto?tab=workshop&step=5,,draft-ietf-pquip-hybrid-signature-spectrums-07 §3.2
hybrid-crypto-sig-010,hybrid-crypto,Hybrid Cryptography,Which hybrid signature constructions are backwards compatible with verifiers that only understand classical cryptography?,"Concatenation and nesting are backwards compatible: a legacy verifier can extract and verify the classical (EC-Schnorr) component independently, since that component uses a standard challenge and does not depend on the PQC component. The Silithium fused construction is NOT backwards compatible — the EC-Schnorr challenge is fused with pk_ml and the ML-DSA commitment, so the classical component alone will not verify with a standard EC-Schnorr verifier.",learn,comprehension,developer;architect;executive;ops,intermediate,Global,All,draft-ietf-pquip-hybrid-signature-spectrums,,,,EC-Schnorr;ML-DSA,,,/learn/hybrid-crypto?tab=learn,,draft-ietf-pquip-hybrid-signature-spectrums-07
