software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags
BTQ Bitcoin Quantum,CSC-058,Blockchain & DLT Protocols,"Application, Network",Yes (ML-DSA),First quantum-safe fork of Bitcoin. Testnet replaces ECDSA with NIST-standardized ML-DSA signatures to protect against quantum threats. Increased block size to 64 MiB to accommodate larger PQC signatures (38-72x larger than ECDSA). Full transaction lifecycle with quantum-resistant cryptography. Protects ~6.26M BTC in addresses with exposed public keys against Harvest Now Decrypt Later attacks.,Open Source/Commercial,Open Source,"V3 (Testnet), v0.3.0 (BIP 360 implementation)","2026-01-12 (Testnet launch), 2026-03-19 (BIP 360 deployment)",No,High,Bitcoin Network (Testnet),"Cryptocurrency, Finance, Digital Assets",https://www.prnewswire.com/news-releases/btq-technologies-implements-bip-360-quantum-resistant-bitcoin-transactions-testnet-302585981.html,,"The first quantum-safe fork of Bitcoin, serving as a live testnet environment and liquidity bridge for quantum-threatened digital assets.",Trusted Vendor,Verified,2026-02-13,migrate,digital-assets,VND-089,ietf,no-cert-backing
Hitachi DoMobile,CSC-036,Remote Access and VDI Software,Application,Yes (ML-KEM FIPS 203),Japan's first remote access system with built-in post-quantum cryptographic protection powered by 01 Quantum. Implements NIST FIPS 203 (ML-KEM) to protect against Harvest Now Decrypt Later attacks. Free upgrade for existing customers. Serving ~7000 companies and 36000 users primarily in finance sector. In production since 2002.,Commercial,"Proprietary (implied by ""Copyright © 2026 - 01 Communique Laboratory Inc. All Rights Reserved"")",Ver.5,2026-01-15,No,Critical,Windows Mobile,"Enterprise, IT Support (implied by ""Remote IT Support"" and ""Agent Connect"")",https://www.01com.com/news-media/hitachi-solutions-create-introduces-worlds-first-remote-access-system,https://www.hitachi-solutions-create.co.jp/domobile/,First commercial remote access product in Japan with production-ready NIST-standardized PQC. Demonstrates enterprise readiness for PQC in remote access scenarios.,Trusted Vendor,Verified,2026-02-13,migrate,vpn-ssh-pqc,VND-135,secom,no-cert-backing
Project Eleven Solana PQC,CSC-058,Blockchain & DLT Protocols,Application,Yes (ML-DSA),"Deployed a production-grade registry (""yellowpages"") for Bitcoin allowing PQC key generation linked to existing addresses. Built and open-sourced the first post-quantum testnet for Solana, replacing standard EdDSA with NIST-standardized ML-DSA. Demonstrates practical end-to-end quantum-resistant transactions.",Open Source/Commercial,Open Source,Testnet,2025-12-16,No,Critical,"Solana Network, Bitcoin Network","Cryptocurrency, Digital Assets, Finance",https://www.projecteleven.com/subscribe,,Post-quantum cryptographic infrastructure and testnet for securing digital assets on Solana and Bitcoin.,Trusted Vendor,Verified,2026-02-13,migrate,digital-assets;migration-program,VND-091,ietf,no-cert-backing
SEALSQ Quantum Shield,CSC-034,Hardware Security and Semiconductors,Hardware,Yes (ML-KEM; ML-DSA),"Integrates ML-KEM (CRYSTALS-Kyber) and ML-DSA (CRYSTALS-Dilithium) directly in silicon. Provides 10x performance gains, stronger side-channel resistance, and advanced tamper protection. Built as an open hardware platform with support for custom firmware and hybrid cryptography migration.",Proprietary,Commercial,QS7001,2025-11-15 (Planned official launch mid-November 2025),"Yes, FIPS 140-3 (Company achieved highest levels including FIPS 140-3; specific chip validation status not explicitly detailed beyond company certification).",Critical,"Defense & Aerospace, Healthcare & Infrastructure, Energy & Smart Grid, IoT & Edge, Automotive, Industrial Automation.","Defense, Healthcare, Energy, IoT, Automotive, Industrial Automation, Telecommunications, Logistics, Medical, Luxury.",https://markets.financialcontent.com/wral/article/tokenring-2025-10-8-sealsq-unveils-quantum-shield-qs7001-and-wisesat-30-pqc-a-new-era-of-quantum-resistant-security-dawns-for-ai-and-space,,Post-quantum semiconductor chips with embedded quantum-resistant cryptography. First deployments in U.S. government and critical infrastructure.,Trusted Vendor,Verified,2026-02-13,"prepare,launch",aerospace-pqc;iot-ot-pqc,VND-056,ietf,no-cert-backing
Forward Edge-AI Isidore Quantum,CSC-033,Network Security Software,"Network, Hardware",Unknown (Yes (ML-KEM AES-256 GCM)),"Delivers quantum-resilient encryption using CNSA 2.0-compliant algorithms including AES-256 GCM and ML-KEM (CRYSTALS-Kyber). Supports Dilithium for signatures. Features autonomous on-orbit rekeying, self-healing security, and integrated Quantum Random Number Generator (QRNG). Validated with U.S. Space Force, NASA, and NSA.",Commercial,Proprietary,Current,2026-09-15 (Table of contents date) / Q3 2026 - Q4 2026 (Availability for variants),"Yes, FIPS 140-3 (Level 3) compliant.",Critical,"Space systems (satellites, launch systems, ground networks), TT&C links, inter-satellite links, hybrid space-terrestrial networks.","Space Systems, Defense, Government (U.S. Space Force, NASA, NSA), Commercial Satellite Operators.",https://forwardedge.ai/isidore/,,Hardware-based quantum-resistant encryption for high-security environments. Deployed across U.S. military branches and SpaceX missions.,Unverified Vendor,Needs Verification,2026-02-13,"test,migrate",5g-security;aerospace-pqc;crypto-dev-apis;network-security-pqc;vpn-ssh-pqc,VND-140,nist-csrc,
QuSecure QuProtect R3,CSC-025,Cryptographic Agility Frameworks,"Cloud, Network, Application, Security Stack",Yes (with details),"Production-ready, end-to-end PQC software-based solution providing quantum-resilience using quantum secure channels. Supports NIST-approved PQC algorithms. Enables transitions to post-quantum algorithms without code changes or system downtime. Designed for national security, network, IoT, edge devices, and satellite communications.",Commercial,Proprietary,R3,2023-01-05 (Announcement date for QuProtect R3 launch context),No,Critical,"Cloud, on-premises, hybrid, air-gapped environments; any device.","Telecom, Finance, Defense, Healthcare, Space/Satellite, IT/Data Enterprises, Critical Infrastructure, Government",https://www.qusecure.com/qusecure-launches-quprotect-r3/,,"Fully integrated, production-ready platform for cryptographic discovery, remediation, and reporting with post-quantum capabilities.",Trusted Vendor,Verified,2026-03-30,"assess,plan,rampup",arch-quantum-impact;crypto-agility;exec-quantum-impact;pqc-governance,VND-054,qusecure,no-cert-backing
SandboxAQ AQtive Guard,CSC-049,Cryptographic Discovery Platforms,"Cloud, Security Stack",Yes (with details),"Provides cryptographic agility and future-proofing via remediation of out-of-policy algorithms. Supports NIST-approved PQC standards HQC (Hamming Quasi-Cyclic) for key encapsulation and SPHINCS+ for signatures, co-invented by SandboxAQ team members. Designed to address vulnerabilities without re-architecting systems.",Commercial,Proprietary,Current,"2025-03-27 (Press release date regarding HQC selection; product availability is ""preview"")",No,High,"Enterprise DevOps environments, centralized database with GraphQL API integration","Enterprises, Government agencies",http://www.sandboxaq.com,,Enables encryption remediation and enforcement while continuously optimizing cryptography across organizations.,Trusted Vendor,Verified,2026-02-21,"assess,plan,rampup",aerospace-pqc;arch-quantum-impact;compliance-strategy;crypto-agility;data-asset-sensitivity;energy-utilities-pqc;exec-quantum-impact;migration-program;network-security-pqc;ops-quantum-impact;platform-eng-pqc;pqc-business-case;pqc-governance;pqc-risk-management;quantum-threats,VND-036,sandboxaq,no-cert-backing
01 Quantum IronCAP,CSC-001,Cryptographic Libraries,Application,Yes (with details),"Combines NIST-approved PQC algorithms with patent-protected quantum-safe technology. Supports email/file encryption, digital signatures, blockchain security, remote access/VPN, password management, credit card security, cloud storage, and website security. Designed for seamless integration via OpenSSL, PKCS#11, and OpenPGP standards.",Proprietary,Proprietary,Current,2026-01,No,High,Cross-platform,"Blockchain, IoT, Data Storage, Remote Access, Email Security, Financial Transactions, Cloud Storage, Website Security",https://www.ironcap.ca/ironcap-toolkits/,,Post-quantum cryptography toolkits enabling vendors to secure vertical applications against classical and quantum attacks.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",ai-security-pqc;dev-quantum-impact;digital-assets;hybrid-crypto;tls-basics,VND-052,cmvp,proprietary-mceliece-variant; no-cert-backing
Bouncy Castle C# .NET,CSC-001,Cryptographic Libraries,"Application, Security Stack",Yes (ML-KEM ML-DSA SLH-DSA HQC FN-DSA),"Includes implementations of NIST Post-Quantum Cryptography Standardization algorithms: ML-DSA, ML-KEM, SLH-DSA, Falcon, Classic McEliece, FrodoKEM, NTRU, NTRU Prime, Picnic, Saber, and BIKE. All are considered EXPERIMENTAL and subject to change or removal.",Open Source,"MIT (based on MIT X Consortium license); includes modified Bzip2 under Apache Software License, Version 2.0",2.6.2,2026-03-01,No (Source tree is not the FIPS version; FIPS version available separately),Critical,".NET, .NET Core",All industries,https://github.com/bcgit/bc-csharp,https://github.com/bcgit/bc-csharp,A .NET implementation of cryptographic algorithms and protocols developed by the Legion of the Bouncy Castle.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-025,bouncy-castle,fips-140-2-not-140-3
Bouncy Castle Java,CSC-001,Cryptographic Libraries,"Application, Security Stack",Yes (ML-KEM ML-DSA SLH-DSA HQC),"Comprehensive PQC implementation supporting ML-KEM, ML-DSA, SLH-DSA, and HQC (Hamming Quasi-Cyclic). Provides quantum-resistant key encapsulation and digital signatures through JCE/JCA provider. Supports hybrid classical/PQC modes for gradual migration.",Open Source/Commercial,"MIT (based on MIT X Consortium license); Apache Software License, Version 2.0 (for modified BZIP2 library in OpenPGP)",1.83,2025-11,"No (Document states: ""this source tree is not the FIPS version of the APIs"").",Critical,"Java (JDK 1.1 to JDK 21+), J2ME",All industries,https://github.com/bcgit/bc-java,https://github.com/bcgit/bc-java,Comprehensive Java implementation of cryptographic algorithms. Supports JCE/JCA provider lightweight API PGP S/MIME DTLS TLS OCSP TSP CMP and certificate generation.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;email-signing;hybrid-crypto;tls-basics,VND-025,bouncy-castle,
