question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
crypto-mgmt-mod-001,crypto-mgmt-modernization,Cryptographic Management Modernization,What are the five pillars of the Cryptographic Maturity Model (CMM) in the crypto management modernization framework?,"The five pillars of the CMM are: (1) Inventory — knowing which certificates, libraries, software, and key material are in your estate; (2) Governance — documented policy and clear ownership (RACI); (3) Lifecycle / CLM — automating certificate and key renewal to meet the 47-day CA/B Forum cadence; (4) Observability — detecting policy drift or FIPS certificate revocation within the same business day; and (5) Assurance/FIPS — proving every library and HSM is backed by a current FIPS 140-3 validation.",learn,recall,architect;executive;ops,beginner;intermediate,Global,General,NIST-FIPS140-3-IG-PQC;OMB-M-23-02,,,,,,,/learn/crypto-mgmt-modernization,library_ref:NIST-FIPS140-3-IG-PQC EXISTS,Module maturity model data
crypto-mgmt-mod-002,crypto-mgmt-modernization,Cryptographic Management Modernization,What are the four asset classes that must be included in a complete cryptographic inventory?,"A complete cryptographic inventory must cover four asset classes: (1) Certificates & PKI — all TLS, code-signing, and CA certificates; (2) Crypto Libraries — the specific library versions and FIPS validation status used in each workload; (3) Application Software — applications with embedded cryptographic operations; and (4) Key Material — HSM-protected and software keys, including their rotation cadence and custody chain.",learn,recall,architect;ops;developer,beginner;intermediate,Global,General,OWASP-CycloneDX-CBOM-Guide;IBM-CBOM-Harishankar,CROSS-001,,,,,,/learn/crypto-mgmt-modernization,library_ref:OWASP-CycloneDX-CBOM-Guide EXISTS,Module inventory framework
crypto-mgmt-mod-003,crypto-mgmt-modernization,Cryptographic Management Modernization,What is the CA/B Forum Ballot SC-081v3 and what certificate validity reduction schedule does it mandate?,"CA/B Forum Ballot SC-081v3, adopted April 2025, mandates a phased reduction of publicly-trusted TLS certificate maximum validity: 200 days from 15 March 2026, 100 days from 15 March 2027, and 47 days from 15 March 2029. Domain control validation reuse is also capped at 10 days at the final stage. This forces organizations to fully automate certificate issuance and renewal via protocols like ACME (RFC 8555), EST (RFC 7030), or CMP (RFC 4210).",learn,recall,ops;architect;executive,beginner;intermediate,Global,General,CAB-Forum-SC-081v3;IETF-RFC-8555;IETF-RFC-7030-EST;IETF-RFC-4210-CMP,,,,,,,/learn/crypto-mgmt-modernization,library_ref:CAB-Forum-SC-081v3 EXISTS,CA/B Forum Ballot SC-081v3 (April 2025)
crypto-mgmt-mod-004,crypto-mgmt-modernization,Cryptographic Management Modernization,What does OMB Memorandum M-23-02 require of US federal agencies regarding cryptographic inventory?,"OMB M-23-02 mandates that US federal agencies conduct annual cryptographic-inventory submissions through 2035, cataloguing all cryptographic systems and prioritizing migration to post-quantum algorithms. This makes CPM a compliance obligation for federal agencies, not just a best practice.",learn,recall,executive;architect;ops,beginner;intermediate,US,Government,OMB-M-23-02;NSA CNSA 2.0,,,,,,,/learn/crypto-mgmt-modernization;/compliance,library_ref:OMB-M-23-02 EXISTS,OMB M-23-02
crypto-mgmt-mod-005,crypto-mgmt-modernization,Cryptographic Management Modernization,What change did the September 2025 FIPS 140-3 Implementation Guidance update impose on already-validated PQC modules?,The September 2025 FIPS 140-3 IG update retroactively imposed new Key Encapsulation Mechanism (KEM) self-test requirements on modules already validated. This means a module that had completed CMVP validation prior to September 2025 may now need re-validation or an Implementation Guidance variance to remain compliant when supporting ML-KEM. Organizations must track IG updates as part of the CMM Assurance pillar.,learn,comprehension,architect;ops,intermediate;advanced,Global,General,NIST-FIPS-140-3-IG-Sep-2025-PQC;NIST-FIPS140-3-IG-PQC,,,,ML-KEM-768,,,/learn/crypto-mgmt-modernization,library_ref:NIST-FIPS-140-3-IG-Sep-2025-PQC EXISTS,NIST FIPS 140-3 IG Sep 2025 PQC update
crypto-mgmt-mod-006,crypto-mgmt-modernization,Cryptographic Management Modernization,What is a Cryptographic Bill of Materials (CBOM) and which standard defines its schema?,"A CBOM is a structured inventory artifact that catalogues every cryptographic primitive, library, key type, and protocol version in use across an application or infrastructure estate — analogous to a software SBOM but focused on cryptographic components. The OWASP CycloneDX standard defines the CBOM schema, using JSON/XML with fields for algorithm family, key length, usage context, and FIPS validation status. A CBOM can be generated from SBOM pipelines or dedicated scanning tools.",learn,comprehension,architect;developer;ops,beginner;intermediate,Global,General,OWASP-CycloneDX-CBOM-Guide;IBM-CBOM-Harishankar;Keyfactor-Introducing-CBOM,CROSS-001,,,,,,/learn/crypto-mgmt-modernization?tab=workshop,library_ref:OWASP-CycloneDX-CBOM-Guide EXISTS,OWASP CycloneDX CBOM Guide
crypto-mgmt-mod-007,crypto-mgmt-modernization,Cryptographic Management Modernization,What are the CNSA 2.0 preferred and exclusive adoption years for software signing in National Security Systems?,NSA CNSA 2.0 sets preferred years (when agencies should prefer ML-DSA for software signing) and exclusive years (when only CNSA 2.0 algorithms are permitted) for National Security Systems. The exact years are product-category specific; the module uses 2030 (preferred) and 2033 (exclusive) as representative values for software signing. Organizations building software signing infrastructure for NSS should plan firmware and library upgrades to support ML-DSA-65 or ML-DSA-87 before the preferred year.,learn,recall,executive;architect,intermediate,US,Government;Defense,NSA CNSA 2.0,,,,ML-DSA-65,,,/learn/crypto-mgmt-modernization;/compliance,algorithm:ML-DSA-65 IN algorithms_csv,NSA CNSA 2.0 FAQ
crypto-mgmt-mod-008,crypto-mgmt-modernization,Cryptographic Management Modernization,"What is the difference between FIPS 140-3 status values ""active"", ""active-pqc"", ""historical"", and ""revoked"" for a crypto library?","""Active"" means the CMVP validation certificate is currently valid for the specific version and platform list. ""Active-pqc"" means active and the validated boundary explicitly includes FIPS 203/204/205 algorithms. ""Historical"" means the certificate has been superseded or sunset but is still permissible for existing deployments per SP 800-131B (not new procurements). ""Revoked"" means the certificate has been cancelled — often due to a discovered flaw — and may not be used in new federal procurements or for FIPS-required workloads.",learn,comprehension,ops;architect,intermediate,Global,General,NIST-CMVP-Validated-Modules;NIST-SP-800-140B,,,,,,,/learn/crypto-mgmt-modernization,library_ref:NIST-SP-800-140B EXISTS,NIST CMVP; NIST SP 800-140B
crypto-mgmt-mod-009,crypto-mgmt-modernization,Cryptographic Management Modernization,"Why does OpenSSL 3.5 have a separate FIPS provider, and what is CMVP certificate #4985?","OpenSSL separates the FIPS-validated cryptographic boundary into a loadable ""FIPS provider"" module (fips.so / fips.dll) that has its own CMVP certificate — #4985 for OpenSSL 3.5. This separation means the FIPS provider can be validated independently of the overall OpenSSL version and allows non-FIPS algorithms to remain in the default provider. FIPS provider cert #4985 is issued to The OpenSSL Project and is the reference cert for deployments requiring OpenSSL FIPS compliance; PQC hybrid algorithms are available in the 3.5 provider.",learn,comprehension,developer;architect;ops,intermediate;advanced,Global,General,NIST-CMVP-Validated-Modules;NIST-FIPS140-3-IG-PQC,,,,ML-KEM-768;ML-DSA-65,OpenSSL,,/learn/crypto-mgmt-modernization;/library?ref=NIST-CMVP-Validated-Modules,library_ref:NIST-CMVP-Validated-Modules EXISTS,NIST CMVP cert #4985; OpenSSL Project
crypto-mgmt-mod-010,crypto-mgmt-modernization,Cryptographic Management Modernization,What is SP 800-90B Entropy Source Validation (ESV) and why is it a separate CMVP track from FIPS 140-3?,"NIST SP 800-90B defines requirements for entropy sources (hardware or software) that feed Deterministic Random Bit Generators (DRBGs). The ESV program validates the entropy source independently of the broader FIPS 140-3 module validation. It is a separate track because the entropy source may be a discrete hardware component (e.g., an HRNG chip) that is tested in isolation. PQC algorithms — especially ML-KEM encapsulation — demand higher-quality randomness (32 bytes of approved DRBG output), making ESV status increasingly important. Organizations should verify that HSMs and libraries carry both an active FIPS 140-3 cert and an active or in-process ESV certificate.",learn,comprehension,architect;ops,advanced,Global,General,NIST-FIPS140-3-IG-PQC,,,,ML-KEM-768,,,/learn/crypto-mgmt-modernization,library_ref:NIST-FIPS140-3-IG-PQC EXISTS,NIST SP 800-90A/B/C; NIST FIPS 140-3 IG
